         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1499882080.63     0     30.81     17.90     15.31    12     31.45     18.55     14.91
 1499882080.73     0     35.55     22.82     14.21    12     36.61     23.83     14.37
 1499882080.83     0     33.82     20.88     16.81    12     35.13     22.00     17.14
 1499882080.93     0     35.36     22.84     13.24    12     36.35     23.81     12.91
 1499882081.03     0     34.84     21.68     17.37    12     35.49     22.38     17.66
 1499882081.13     0     35.36     22.90     12.74    12     36.31     23.82     12.77
 1499882081.23     0     34.95     21.79     17.33    12     35.92     22.69     17.54
 1499882081.33     0     34.99     22.26     14.50    12     35.92     23.14     14.36
 1499882081.43     0     35.24     22.38     15.65    12     36.14     23.22     15.84
 1499882081.53     0     34.78     21.61     17.58    12     35.64     22.41     17.77
 1499882081.63     0     35.07     22.60     12.43    12     35.80     23.31     12.69
 1499882081.73     0     34.72     21.52     17.68    12     35.55     22.33     17.53
 1499882081.83     0     35.44     22.99     12.84    12     36.30     23.81     12.83
 1499882081.93     0     34.98     21.81     17.65    12     35.80     22.58     17.48
 1499882082.03     0     35.03     22.52     12.98    12     36.05     23.51     13.06
 1499882082.13     0     35.06     21.97     17.18    12     35.89     22.75     17.39
 1499882082.23     0     34.94     21.95     16.40    12     35.83     22.80     16.31
 1499882082.33     0     35.23     22.62     13.98    12     36.14     23.50     13.81
 1499882082.43     0     34.87     21.69     17.66    12     35.73     22.50     17.45
 1499882082.53     0     35.33     22.87     12.62    12     36.26     23.76     12.97
 1499882082.63     0     34.61     21.56     17.55    12     35.45     22.36     17.26
 1499882082.73     0     34.92     22.26     14.00    12     35.79     23.08     14.01
 1499882082.83     0     35.24     22.30     16.17    12     36.10     23.10     16.41
 1499882082.93     0     34.71     21.56     17.46    12     35.59     22.40     17.49
 1499882083.03     0     35.29     22.83     12.64    12     36.17     23.68     12.61
 1499882083.13     0     34.81     21.63     17.57    12     35.74     22.52     17.50
 1499882083.23     0     35.20     22.74     12.68    12     36.17     23.67     12.86
 1499882083.33     0     34.91     21.74     17.60    12     35.83     22.62     17.65
 1499882083.43     0     34.92     22.09     15.12    12     35.88     23.01     15.22
 1499882083.53     0     35.10     22.31     15.28    12     36.17     23.33     15.10
 1499882083.63     0     34.69     21.51     17.57    12     35.71     22.49     17.61
 1499882083.73     0     35.29     22.83     12.84    12     36.34     23.84     12.65
 1499882083.83     0     34.84     21.66     17.66    12     35.49     22.40     17.46
 1499882083.93     0     34.70     22.32     12.89    12     36.11     23.58     13.25
 1499882084.03     0     35.27     22.03     17.58    12     36.35     23.06     17.09
 1499882084.13     0     34.77     21.78     16.30    12     35.81     22.77     16.50
 1499882084.23     0     35.22     22.61     13.89    12     36.19     23.53     13.99
 1499882084.33     0     34.39     21.57     17.52    12     35.81     22.59     17.67
 1499882084.43     0     35.23     22.54     12.76    12     35.90     23.52     12.54
 1499882084.53     0     34.92     21.75     17.35    12     35.82     22.60     17.68
 1499882084.63     0     34.64     22.13     12.86    12     35.63     23.07     13.05
 1499882084.73     0     34.91     21.79     17.16    12     35.79     22.63     17.09
 1499882084.83     0     34.82     21.86     16.25    12     35.75     22.73     16.27
 1499882084.94     0     35.12     22.49     14.03    12     36.08     23.40     14.11
 1499882085.04     0     34.79     21.61     17.48    12     35.71     22.48     17.68
 1499882085.14     0     35.33     22.87     12.57    12     36.21     23.71     12.76
 1499882085.24     0     34.88     21.71     17.63    12     35.81     22.59     17.66
 1499882085.34     0     34.93     22.28     13.86    12     35.88     23.18     13.98
 1499882085.44     0     35.11     22.18     16.39    12     36.03     23.07     16.27
 1499882085.54     0     34.73     21.58     17.46    12     35.63     22.43     17.58
 1499882085.64     0     35.21     22.76     12.73    12     36.22     23.73     12.81
