         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1502285558.88     0     38.35      0.00      4.46     1     38.35      0.00      4.46     2     38.35      0.00      4.46     3     38.35      0.00      4.46     4     38.35      0.00      4.46     5     38.36      0.00      4.46     6     38.37      0.00      4.46     7     38.37      0.00      4.46     8     38.38      0.00      4.46     9     38.39      0.00      4.46    10     38.40      0.00      4.46    11     38.41      0.00      4.46    12     36.19      0.00      4.94    13     36.20      0.00      4.94    14     36.20      0.00      4.94    15     36.21      0.00      4.95    16     36.22      0.00      4.95    17     36.23      0.00      4.95    18     36.24      0.00      4.95    19     36.24      0.00      4.95    20     36.24      0.00      4.95    21     36.24      0.00      4.95    22     36.25      0.00      4.95    23     36.25      0.00      4.95
 1502285558.98     0     38.27      0.00      4.37     1     38.28      0.00      4.37     2     38.28      0.00      4.37     3     38.28      0.00      4.37     4     38.28      0.00      4.37     5     38.28      0.00      4.37     6     38.28      0.00      4.37     7     38.28      0.00      4.37     8     38.28      0.00      4.37     9     38.28      0.00      4.37    10     38.28      0.00      4.37    11     38.28      0.00      4.37    12     36.34      0.00      4.68    13     36.34      0.00      4.68    14     36.64      0.00      4.68    15     36.64      0.00      4.73    16     36.64      0.00      4.73    17     36.64      0.00      4.73    18     36.64      0.00      4.73    19     36.64      0.00      4.73    20     36.64      0.00      4.73    21     36.64      0.00      4.73    22     36.64      0.00      4.73    23     36.64      0.00      4.73
 1502285559.08     0     38.32      0.00      4.38     1     38.32      0.00      4.38     2     38.32      0.00      4.38     3     38.32      0.00      4.38     4     38.32      0.00      4.38     5     38.32      0.00      4.38     6     38.32      0.00      4.38     7     38.32      0.00      4.38     8     38.32      0.00      4.38     9     38.32      0.00      4.38    10     38.32      0.00      4.38    11     38.71      0.00      4.38    12     36.69      0.00      4.74    13     36.69      0.00      4.74    14     36.39      0.00      4.74    15     36.39      0.00      4.69    16     36.39      0.00      4.69    17     36.39      0.00      4.69    18     36.39      0.00      4.69    19     36.39      0.00      4.69    20     36.39      0.00      4.69    21     36.39      0.00      4.69    22     36.39      0.00      4.69    23     36.39      0.00      4.69
 1502285559.18     0     38.64      0.00      4.32     1     38.64      0.00      4.32     2     38.64      0.00      4.32     3     38.64      0.00      4.32     4     38.64      0.00      4.32     5     38.64      0.00      4.32     6     38.64      0.00      4.32     7     38.64      0.00      4.32     8     38.64      0.00      4.32     9     38.64      0.00      4.32    10     38.64      0.00      4.32    11     38.25      0.00      4.32    12     36.31      0.00      4.70    13     36.31      0.00      4.70    14     36.31      0.00      4.70    15     36.31      0.00      4.70    16     36.31      0.00      4.70    17     36.31      0.00      4.70    18     36.31      0.00      4.70    19     36.31      0.00      4.70    20     36.31      0.00      4.70    21     36.31      0.00      4.70    22     36.31      0.00      4.70    23     36.31      0.00      4.70
 1502285559.28     0     38.26      0.00      4.40     1     38.26      0.00      4.40     2     38.26      0.00      4.40     3     38.26      0.00      4.40     4     38.26      0.00      4.40     5     38.26      0.00      4.40     6     38.26      0.00      4.40     7     38.26      0.00      4.40     8     38.26      0.00      4.40     9     38.26      0.00      4.40    10     38.26      0.00      4.40    11     38.26      0.00      4.40    12     36.29      0.00      4.71    13     36.29      0.00      4.71    14     36.29      0.00      4.71    15     36.29      0.00      4.71    16     36.29      0.00      4.71    17     36.29      0.00      4.71    18     36.29      0.00      4.71    19     36.29      0.00      4.71    20     36.29      0.00      4.71    21     36.29      0.00      4.71    22     36.29      0.00      4.71    23     36.29      0.00      4.71
 1502285559.38     0     38.33      0.00      4.82     1     38.33      0.00      4.82     2     38.33      0.00      4.82     3     38.33      0.00      4.82     4     38.33      0.00      4.82     5     38.33      0.00      4.82     6     38.33      0.00      4.82     7     38.33      0.00      4.82     8     38.33      0.00      4.82     9     38.33      0.00      4.82    10     38.68      0.00      4.82    11     38.68      0.00      4.82    12     36.66      0.00      4.75    13     36.66      0.00      4.75    14     36.66      0.00      4.75    15     36.66      0.00      4.75    16     36.66      0.00      4.75    17     36.66      0.00      4.75    18     36.66      0.00      4.75    19     36.66      0.00      4.75    20     36.67      0.00      4.75    21     36.67      0.00      4.75    22     36.67      0.00      4.75    23     36.67      0.00      4.75
 1502285559.48     0     38.65      0.00      4.51     1     38.65      0.00      4.51     2     38.65      0.00      4.51     3     38.65      0.00      4.51     4     38.65      0.00      4.51     5     38.65      0.00      4.51     6     38.65      0.00      4.51     7     38.65      0.00      4.51     8     38.65      0.00      4.51     9     38.65      0.00      4.51    10     38.29      0.00      4.51    11     38.29      0.00      4.51    12     36.31      0.00      4.87    13     36.31      0.00      4.87    14     36.31      0.00      4.87    15     36.31      0.00      4.87    16     36.31      0.00      4.87    17     36.31      0.00      4.87    18     36.31      0.00      4.87    19     36.31      0.00      4.87    20     36.31      0.00      4.87    21     36.31      0.00      4.87    22     36.31      0.00      4.87    23     36.31      0.00      4.87
 1502285559.58     0     38.30      0.00      4.36     1     38.30      0.00      4.36     2     38.30      0.00      4.36     3     38.30      0.00      4.36     4     38.30      0.00      4.36     5     38.30      0.00      4.36     6     38.30      0.00      4.36     7     38.30      0.00      4.36     8     38.30      0.00      4.36     9     38.30      0.00      4.36    10     38.30      0.00      4.36    11     38.30      0.00      4.36    12     36.30      0.00      5.14    13     36.30      0.00      5.14    14     36.30      0.00      5.14    15     36.30      0.00      5.14    16     36.29      0.00      5.14    17     36.29      0.00      5.14    18     36.29      0.00      5.14    19     36.29      0.00      5.14    20     36.29      0.00      5.14    21     36.29      0.00      5.14    22     36.29      0.00      5.14    23     36.29      0.00      5.14
 1502285559.68     0     38.20      0.00      4.37     1     38.20      0.00      4.37     2     38.20      0.00      4.37     3     38.20      0.00      4.37     4     38.20      0.00      4.37     5     38.20      0.00      4.37     6     38.20      0.00      4.37     7     38.20      0.00      4.37     8     38.20      0.00      4.37     9     38.20      0.00      4.37    10     38.20      0.00      4.37    11     38.20      0.00      4.37    12     36.62      0.00      4.83    13     36.62      0.00      4.83    14     36.62      0.00      4.83    15     36.62      0.00      4.83    16     36.63      0.00      4.83    17     36.63      0.00      4.83    18     36.63      0.00      4.83    19     36.63      0.00      4.83    20     36.63      0.00      4.83    21     36.63      0.00      4.83    22     36.63      0.00      4.83    23     36.63      0.00      4.83
 1502285559.78     0     38.73      0.00      4.60     1     38.73      0.00      4.60     2     38.73      0.00      4.60     3     38.73      0.00      4.60     4     38.73      0.00      4.60     5     38.73      0.00      4.60     6     38.73      0.00      4.60     7     38.73      0.00      4.60     8     38.73      0.00      4.60     9     38.73      0.00      4.60    10     38.73      0.00      4.60    11     38.73      0.00      4.60    12     36.43      0.00      4.86    13     36.43      0.00      4.86    14     36.43      0.00      4.86    15     36.43      0.00      4.86    16     36.43      0.00      4.86    17     36.43      0.00      4.86    18     36.43      0.00      4.85    19     36.43      0.00      4.85    20     36.43      0.00      4.85    21     36.43      0.00      4.85    22     36.43      0.00      4.85    23     36.43      0.00      4.85
 1502285559.88     0     38.41      0.00      4.54     1     38.41      0.00      4.54     2     38.41      0.00      4.54     3     38.41      0.00      4.54     4     38.41      0.00      4.54     5     38.41      0.00      4.54     6     38.41      0.00      4.54     7     38.41      0.00      4.54     8     38.41      0.00      4.54     9     38.41      0.00      4.54    10     38.40      0.00      4.54    11     38.40      0.00      4.54    12     36.48      0.00      4.91    13     36.48      0.00      4.91    14     36.48      0.00      4.91    15     36.48      0.00      4.91    16     36.48      0.00      4.91    17     36.48      0.00      4.91    18     36.48      0.00      4.91    19     36.48      0.00      4.91    20     36.48      0.00      4.91    21     36.48      0.00      4.91    22     36.48      0.00      4.91    23     36.48      0.00      4.91
 1502285559.98     0     38.37      0.00      4.37     1     38.37      0.00      4.37     2     38.37      0.00      4.37     3     38.37      0.00      4.37     4     38.37      0.00      4.37     5     38.37      0.00      4.37     6     38.37      0.00      4.37     7     38.37      0.00      4.37     8     38.37      0.00      4.37     9     38.37      0.00      4.37    10     38.37      0.00      4.37    11     38.37      0.00      4.37    12     36.63      0.00      4.72    13     36.63      0.00      4.72    14     36.63      0.00      4.72    15     36.63      0.00      4.72    16     36.63      0.00      4.72    17     36.63      0.00      4.72    18     36.63      0.00      4.72    19     36.64      0.00      4.72    20     36.64      0.00      4.72    21     36.64      0.00      4.72    22     36.64      0.00      4.72    23     36.64      0.00      4.72
 1502285560.08     0     38.70      0.00      4.50     1     38.70      0.00      4.50     2     38.70      0.00      4.50     3     38.70      0.00      4.50     4     38.70      0.00      4.50     5     38.70      0.00      4.50     6     38.70      0.00      4.50     7     38.70      0.00      4.50     8     38.70      0.00      4.50     9     38.70      0.00      4.50    10     38.70      0.00      4.50    11     38.70      0.00      4.50    12     36.34      0.00      4.73    13     36.34      0.00      4.73    14     36.34      0.00      4.73    15     36.34      0.00      4.73    16     36.34      0.00      4.73    17     36.34      0.00      4.73    18     36.34      0.00      4.73    19     36.34      0.00      4.73    20     36.34      0.00      4.73    21     36.34      0.00      4.73    22     36.34      0.00      4.73    23     36.34      0.00      4.73
